Config,Final Train Acc,Final Test Acc,Avg Train Acc,Avg Test Acc,Execution Time
4,0.8248,0.8202,0.8150899999999999,0.812619,
8,0.9409,0.9216,0.934582,0.920419,
16,0.9852,0.9433,0.978091,0.94784,
32,0.997,0.9615,0.9906335,0.960792,
64,0.999,0.9733,0.9951349999999999,0.9720584999999999,
128,0.9994,0.9788,0.9963855000000001,0.9759495000000001,
256,0.9994,0.9793,0.9967619999999999,0.9773000000000001,
512,0.9994,0.9783,0.9967699999999999,0.9770479999999999,
1024,0.9995,0.9805,0.9967895,0.9776495,
4*2,0.7713,0.7658,0.7707169999999999,0.7621469999999999,
8*2,0.9094,0.8985,0.9096015,0.898108,
16*2,0.9603,0.9326,0.958246,0.9377610000000002,
32*2,0.9906,0.9605,0.9863884999999999,0.9610375000000001,
64*2,0.9911,0.963,0.9910859999999999,0.9686165,
128*2,0.9952,0.9742,0.9921965,0.972362,
256*2,0.9938,0.974,0.992404,0.9732229999999998,
512*2,0.9954,0.9744,0.9929605000000001,0.974366,
1024*2,0.994,0.9706,0.9919975,0.9722495000000001,
4*3,0.1124,0.1135,0.11149850000000003,0.11233499999999999,
8*3,0.9221,0.899,0.9201135,0.9015860000000001,
16*3,0.9845,0.9526,0.9747549999999999,0.95113,
32*3,0.9902,0.9634,0.9882675000000001,0.9635405,
64*3,0.9942,0.9713,0.991294,0.9698294999999999,
128*3,0.9928,0.9704,0.9904480000000001,0.9701230000000001,
256*3,0.9808,0.961,0.986766,0.967296,
512*3,0.9645,0.9428,0.983771,0.9643795000000001,
1024*3,0.9784,0.9579,0.9828515,0.9623245,
4*4,0.1124,0.1135,0.11108800000000002,0.1119265,
8*4,0.1124,0.1135,0.11112750000000003,0.11192049999999998,
16*4,0.9837,0.9515,0.9750834999999999,0.9505789999999998,
32*4,0.9936,0.9661,0.987577,0.9651125,
64*4,0.9923,0.9646,0.988518,0.966773,
128*4,0.8858,0.8659,0.9707295,0.9524600000000001,
256*4,0.7864,0.7741,0.9767600000000002,0.958986,
329*4,0.4752,0.4706,0.8094661666666667,0.7979305,1909.867655277252
329*4,0.4752,0.4706,0.8094664999999999,0.7979305,
512*4,0.9798,0.9619,0.9859295,0.9679099999999999,
1024*4,0.8923,0.8779,0.970017,0.952224,
1024*8,0.1124,0.1135,0.24011750000000004,0.24073550000000005,
1024*8,0.1123666666666666,0.1135,0.2400966666666666,0.2407355,23149.41184592247
32*32,0.1123666666666666,0.1135,0.111188,0.1120584999999999,708.6705696582794
32*32,0.1124,0.1135,0.11121700000000004,0.11205849999999998,
2048-256-32-4,0.2038,0.2096,0.675426,0.6673075,
4-32-256-2048,0.8960833333333333,0.8812,0.8869604166666667,0.8756790000000001,2165.297941684723
2048-256-32-4,0.2038166666666666,0.2096,0.6754300000000001,0.6673075,6646.347771406174
4-32-256-2048,0.8961,0.8812,0.886961,0.8756790000000001,
